Month,WTI Price,Temps
Apr-2013,92.02,53
May-2013,94.51,62.8
Jun-2013,95.77,72.7
Jul-2013,104.67,79.8
Aug-2013,106.57,74.6
Sep-2013,106.29,67.9
Oct-2013,100.54,60.2
Nov-2013,93.86,45.3
Dec-2013,97.63,38.5
Jan-2014,94.62,28.6
Feb-2014,100.82,31.6
Mar-2014,100.8,37.7
Apr-2014,102.07,52.3
May-2014,102.18,64
Jun-2014,105.79,72.5
Jul-2014,103.59,76.1
Aug-2014,96.54,74.5
Sep-2014,93.21,69.7
Oct-2014,84.4,59.6
Nov-2014,75.79,45.3
Dec-2014,59.29,40.5
Jan-2015,47.22,29.9
Feb-2015,50.58,23.9
Mar-2015,47.82,38.1
Apr-2015,54.45,54.3
May-2015,59.27,68.5
Jun-2015,59.82,71.2
Jul-2015,50.9,78.8
Aug-2015,42.87,79
Sep-2015,45.48,74.5
Oct-2015,46.22,58
Nov-2015,42.44,52.8
Dec-2015,37.19,50.8
Jan-2016,31.68,34.5
Feb-2016,30.32,37.7
Mar-2016,37.55,48.9
Apr-2016,40.75,53.3
May-2016,46.71,62.8
Jun-2016,48.76,72.3
Jul-2016,44.65,78.7
Aug-2016,44.72,79.2
Sep-2016,45.18,71.8
Oct-2016,49.78,58.8
Nov-2016,45.66,49.8
Dec-2016,51.97,38.3
Jan-2017,52.5,38
Feb-2017,53.47,41.6
Mar-2017,49.33,39.2
Apr-2017,51.06,57.2
May-2017,48.48,61.1
Jun-2017,45.18,72
Jul-2017,46.63,76.8
Aug-2017,48.04,74
Sep-2017,49.82,70.5
Oct-2017,51.58,64.1
Nov-2017,56.64,46.6
Dec-2017,57.88,33.4
Jan-2018,63.7,31.7
Feb-2018,62.23,
Mar-2018,62.73,